;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1976;552.84;1387.04;1939.88
1;1;1977;590.2;1350.96;1941.16
2;2;1978;549.92;1395.24;1945.16
3;3;1979;559.16;1388.12;1947.28
4;4;1980;570.16;1377.48;1947.64
5;5;1981;492.76;590.48;1083.24
6;6;1982;509.16;583.12;1092.28
7;7;1983;510.6;582.84;1093.44
8;8;1984;512.6800000000001;1213.28;1725.96
9;9;1985;514.88;1212.92;1727.8
10;10;1986;523.96;1207.28;1731.24
11;11;1987;533.84;1199.52;1733.36
12;12;1988;537.12;1196.8;1733.92
13;13;1989;537.92;1194.64;1732.56
14;14;1990;539.4;1197.36;1736.76
15;15;1991;539.4;1197.44;1736.84
16;16;1992;558.96;1177.56;1736.52
17;17;1993;558.76;1177.88;1736.64
18;18;1994;562.24;1197.12;1759.36
19;19;1995;562.36;1198.72;1761.08
20;20;1996;562.92;1197.0;1759.92
21;21;1997;564.6800000000001;1187.72;1752.4
22;22;1998;573.36;1179.04;1752.4
23;23;1999;562.24;622.92;1185.16
24;24;2000;564.84;628.28;1193.12
25;25;2001;566.16;621.88;1188.04
26;26;2002;561.0;1179.12;1740.12
27;27;2003;563.64;1176.48;1740.12
28;28;2004;565.5600000000001;1174.56;1740.12
29;29;2005;565.64;1180.68;1746.32
30;30;2006;565.8000000000001;1184.12;1749.92
31;31;2007;565.96;1188.04;1754.0
32;32;2008;566.2;1185.52;1751.72
33;33;2009;566.52;1184.04;1750.56
34;34;2010;566.72;1204.2;1770.92
35;35;2011;567.72;1203.48;1771.2
36;36;2012;568.72;1202.56;1771.28
37;37;2013;569.0;1206.24;1775.24
38;38;2014;568.5600000000001;1202.72;1771.28
39;39;2015;570.5600000000001;1194.76;1765.32
40;40;2016;570.6;1194.76;1765.36
41;41;2017;570.8000000000001;1194.52;1765.32
42;42;2018;570.64;1199.32;1769.96
43;43;2019;570.6800000000001;1200.36;1771.04
44;44;2020;572.12;1199.6;1771.72
45;45;2021;572.12;1196.68;1768.8
46;46;2022;572.04;1196.6;1768.64
47;47;2023;573.48;1179.64;1753.12
48;48;2024;578.92;1174.2;1753.12
