;index;YEAR;VAR1;VAR2;VAR3
0;0;1976;5731.4800000000005;7767.68;13499.16
1;1;1977;6237.32;7243.280000000001;13480.599999999999
2;2;1978;6724.0;6284.12;13008.12
3;3;1979;7119.32;5903.76;13023.08
4;4;1980;7150.72;5731.24;12881.960000000001
5;5;1981;5066.599999999999;5176.48;10243.08
6;6;1982;5579.280000000001;4663.88;10243.16
7;7;1983;5972.24;4331.6;10303.84
8;8;1984;6323.8;6721.88;13045.68
9;9;1985;6621.84;6431.200000000001;13053.039999999999
10;10;1986;6969.5199999999995;6030.879999999999;13000.4
11;11;1987;6995.200000000001;6065.4800000000005;13060.68
12;12;1988;6791.68;5629.28;12420.96
13;13;1989;6898.84;5592.52;12491.36
14;14;1990;6910.240000000001;5603.76;12514.0
15;15;1991;6911.5199999999995;5633.72;12545.24
16;16;1992;7019.76;6031.32;13051.08
17;17;1993;7045.400000000001;6005.879999999999;13051.279999999999
18;18;1994;7052.12;6022.719999999999;13074.84
19;19;1995;7054.04;6067.320000000001;13121.36
20;20;1996;7136.92;5904.080000000001;13041.0
21;21;1997;7139.92;5894.28;13034.2
22;22;1998;7350.320000000001;5684.76;13035.08
23;23;1999;7018.72;3249.72;10268.44
24;24;2000;7026.4800000000005;3248.48;10274.960000000001
25;25;2001;7029.08;3245.92;10275.0
26;26;2002;7048.5599999999995;5815.64;12864.199999999999
27;27;2003;7046.08;5821.8;12867.88
28;28;2004;6951.08;2863.8;9814.88
29;29;2005;6953.88;2873.36;9827.24
30;30;2006;7053.52;2834.52;9888.039999999999
31;31;2007;7060.120000000001;5402.68;12462.800000000001
32;32;2008;7068.920000000001;5462.280000000001;12531.2
33;33;2009;7075.32;5466.4400000000005;12541.759999999998
34;34;2010;7097.88;5391.08;12488.960000000001
35;35;2011;7121.360000000001;5641.16;12762.52
36;36;2012;7125.56;5638.639999999999;12764.2
37;37;2013;7127.08;5873.68;13000.76
38;38;2014;7126.360000000001;5951.599999999999;13077.96
39;39;2015;7126.920000000001;6020.72;13147.64
40;40;2016;7125.24;6046.36;13171.6
41;41;2017;7123.92;6048.04;13171.96
42;42;2018;7123.76;6065.280000000001;13189.04
43;43;2019;7121.4400000000005;6068.320000000001;13189.76
44;44;2020;7118.56;6071.240000000001;13189.8
45;45;2021;7259.320000000001;5826.240000000001;13085.56
46;46;2022;7596.88;4634.72;12231.6
47;47;2023;7156.200000000001;4987.4400000000005;12143.64
48;48;2024;7154.12;5032.32;12186.44
