;index;YEAR;VAR1
0;0;1952;0.18349274999999085
1;1;1953;0.18238175000001716
2;2;1954;0.18238175000001716
3;3;1955;0.19238075000003335
4;4;1956;0.18599249999999495
5;5;1957;0.18377050000004744
6;6;1958;0.18238175000001716
7;7;1959;0.19265850000008994
8;8;1960;0.18349274999999085
9;9;1961;0.18654800000004496
10;10;1962;0.18238175000001716
11;11;1963;0.19238075000003335
12;12;1964;0.18349274999999085
13;13;1965;0.18238175000001716
14;14;1966;0.18238175000001716
15;15;1967;0.19876900000000855
16;16;1968;0.2304324999999545
17;17;1969;0.18238175000001716
18;18;1970;0.18238175000001716
19;19;1971;0.19238075000003335
20;20;1972;0.17182724999995094
21;21;1973;0.18238175000001716
22;22;1974;0.18238175000001716
23;23;1975;0.19238075000003335
24;24;1976;0.18599249999999495
25;25;1977;0.2254330000000096
26;26;1978;0.113499750000004
27;27;1979;0.19238075000003335
28;28;1980;0.2137674999999697
29;29;1981;0.2301547500000242
30;30;1982;0.18654800000004496
31;31;1983;0.19238075000003335
32;32;1984;0.18349274999999085
33;33;1985;0.19626925000000456
34;34;1986;0.18238175000001716
35;35;1987;0.19238075000003335
36;36;1988;0.18488150000002115
37;37;1989;0.17377149999996816
38;38;1990;0.18238175000001716
39;39;1991;0.2557077500000515
40;40;1992;0.2934817499999161
41;41;1993;0.18238175000001716
42;42;1994;0.18238175000001716
43;43;1995;0.19238075000003335
44;44;1996;0.18599249999999495
45;45;1997;0.18238175000001716
46;46;1998;0.308757999999997
47;47;1999;0.0
48;48;2000;0.18349274999999085
49;49;2001;0.18238175000001716
50;50;2002;0.18238175000001716
51;51;2003;0.2637625000000505
52;52;2004;0.29320399999998586
53;53;2005;0.18238175000001716
54;54;2006;0.18849224999999895
55;55;2007;0.25904075000003585
56;56;2008;0.1746047500000116
57;57;2009;0.18238175000001716
58;58;2010;0.18238175000001716
59;59;2011;0.19238075000003335
60;60;2012;0.34875399999999845
61;61;2013;0.33736624999995196
62;62;2014;0.18599250000005804
63;63;2015;0.18571475000000146
64;64;2016;0.18599250000005804
65;65;2017;0.18599250000005804
66;66;2018;0.18599250000005804
67;67;2019;0.18599250000005804
68;68;2020;0.18599250000005804
69;69;2021;0.3073692499999666
70;70;2022;0.5
71;71;2023;0.18599250000005804
72;72;2024;0.25904074999997273
73;73;2025;0.456976500000001
