;index;YEAR;VAR1;VAR2;VAR3
0;0;1977;6556.2;5068.32;4795.56
1;1;1978;10255.96;5478.24;4780.599999999999
2;2;1979;9587.119999999999;4803.4400000000005;4469.76
3;3;1980;5727.92;5263.84;5021.04
4;4;1981;10397.880000000001;4909.88;4291.56
5;5;1982;10069.52;6267.76;5339.88
6;6;1983;10197.2;6032.92;5294.280000000001
7;7;1984;11060.320000000002;6536.56;5753.4400000000005
8;8;1985;13837.880000000001;8474.56;7980.12
9;9;1986;11336.96;6093.16;5661.12
10;10;1987;6986.48;6292.0;5527.679999999999
11;11;1988;9568.84;5117.639999999999;4889.12
12;12;1989;10101.32;5163.04;4223.76
13;13;1990;8573.56;4375.92;4085.0
14;14;1991;9932.52;4957.12;4017.96
15;15;1992;8209.88;4074.92;3135.6800000000003
16;16;1993;13651.439999999999;7318.96;6809.04
17;17;1994;8643.24;4331.2;3392.04
18;18;1995;8576.92;4153.24;3093.52
19;19;1996;9481.16;5963.0;5777.08
20;20;1997;6256.200000000001;3208.32;2848.08
21;21;1998;5509.76;4173.08;3504.5600000000004
22;22;1999;11686.48;5652.68;5030.36
23;23;2000;11126.519999999999;5476.68;4195.84
24;24;2001;17507.32;11331.560000000001;11035.72
25;25;2002;8685.24;4542.04;4463.52
26;26;2003;5514.36;4880.4800000000005;4717.16
27;27;2004;12240.96;6348.76;5726.4
28;28;2005;13432.0;7650.64;7442.68
29;29;2006;11316.119999999999;5660.12;5150.280000000001
30;30;2007;11064.119999999999;5069.6;3653.3199999999997
31;31;2008;18017.88;11332.279999999999;10955.88
32;32;2009;11721.480000000001;6229.16;6087.599999999999
33;33;2010;12913.96;6496.280000000001;5293.12
34;34;2011;11293.92;5867.8;5207.72
35;35;2012;10898.439999999999;5243.88;3935.5600000000004
36;36;2013;8406.04;4271.96;4105.72
37;37;2014;8112.879999999999;6347.0;5996.360000000001
38;38;2015;12843.84;6688.72;6196.28
39;39;2016;11646.92;5696.64;4911.48
40;40;2017;11955.76;5897.76;4603.96
41;41;2018;13036.28;6632.32;6027.76
42;42;2019;10928.720000000001;5268.16;4575.96
43;43;2020;13674.84;7246.08;6555.92
44;44;2021;10032.4;4672.8;4212.4
45;45;2022;26773.0;19664.08;15025.119999999999
46;46;2023;9564.2;4566.72;4260.04
47;47;2024;11270.519999999999;5792.08;4317.4
