;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1976;5170.32;7021.64;12191.96
1;1;1977;5655.84;6466.12;12121.96
2;2;1978;6134.68;5866.56;12001.24
3;3;1979;6513.76;5492.16;12005.92
4;4;1980;6539.12;5461.92;12001.04
5;5;1981;3139.92;5516.0;8655.92
6;6;1982;4400.4400000000005;4255.4800000000005;8655.92
7;7;1983;4824.68;3832.92;8657.6
8;8;1984;5026.64;6773.400000000001;11800.04
9;9;1985;5355.92;6487.12;11843.04
10;10;1986;5611.92;6192.0;11803.92
11;11;1987;5854.8;6019.52;11874.32
12;12;1988;5823.16;5803.28;11626.44
13;13;1989;5797.36;5888.32;11685.68
14;14;1990;5927.0;5777.400000000001;11704.4
15;15;1991;6014.88;5693.56;11708.44
16;16;1992;6072.68;5730.8;11803.48
17;17;1993;6070.72;5732.76;11803.48
18;18;1994;6096.84;5721.4400000000005;11818.28
19;19;1995;6097.76;6058.52;12156.28
20;20;1996;6107.2;5900.88;12008.08
21;21;1997;6117.32;5890.36;12007.68
22;22;1998;6127.6;5705.52;11833.12
23;23;1999;6023.68;2117.28;8140.96
24;24;2000;6044.68;2097.56;8142.24
25;25;2001;6046.16;2096.08;8142.24
26;26;2002;6046.0;5709.16;11755.16
27;27;2003;6050.88;5720.2;11771.08
28;28;2004;5552.400000000001;1235.68;6788.08
29;29;2005;5792.08;1010.44;6802.52
30;30;2006;5857.16;982.04;6839.2
31;31;2007;5628.28;4782.0;10410.28
32;32;2008;5710.56;4750.4800000000005;10461.04
33;33;2009;5786.36;4707.08;10493.44
34;34;2010;5946.84;5272.76;11219.6
35;35;2011;5956.04;5580.8;11536.84
36;36;2012;5959.08;5509.68;11468.76
37;37;2013;5959.72;5874.12;11833.84
38;38;2014;5960.68;5873.2;11833.88
39;39;2015;5964.400000000001;5917.08;11881.48
40;40;2016;5963.76;6120.32;12084.08
41;41;2017;5961.96;6130.96;12092.92
42;42;2018;5960.4400000000005;6157.88;12118.32
43;43;2019;5960.32;6162.16;12122.48
44;44;2020;5960.12;6176.32;12136.44
45;45;2021;5962.56;5621.52;11584.08
46;46;2022;6050.56;4617.64;10668.2
47;47;2023;5957.0;4571.400000000001;10528.4
48;48;2024;5954.64;4573.76;10528.4
