;index;YEAR;VAR1
0;0;1952;0.6875090000000439
1;1;1953;0.2107122500000419
2;2;1954;0.44058924999994636
3;3;1955;0.5278027499999681
4;4;1956;0.676657500000183
5;5;1957;0.5572442500000299
6;6;1958;0.7071015000000641
7;7;1959;0.6324094999999078
8;8;1960;0.47864099999999393
9;9;1961;0.8282004999999792
10;10;1962;0.6666777499999681
11;11;1963;0.05128374999995955
12;12;1964;0.43318999999995955
13;13;1965;0.140163750000005
14;14;1966;0.0271195000000257
15;15;1967;0.5171205000000096
16;16;1968;0.48808449999995995
17;17;1969;0.00517724999991305
18;18;1970;0.5946127499999454
19;19;1971;0.04768049999985845
20;20;1972;0.0
21;21;1973;0.2508860000000115
22;22;1974;0.1298869999999954
23;23;1975;0.8629192500000424
24;24;1976;0.800703249999998
25;25;1977;0.4526325000000682
26;26;1978;0.0
27;27;1979;0.00739924999998685
28;28;1980;0.9867957500000182
29;29;1981;0.28867699999997387
30;30;1982;0.8584752499999581
31;31;1983;0.1719960000000771
32;32;1984;0.6286260000000469
33;33;1985;0.8226454999999844
34;34;1986;0.0
35;35;1987;0.5633547499999485
36;36;1988;0.0351742500000247
37;37;1989;0.07239275000002875
38;38;1990;0.3273672500000621
39;39;1991;0.5798920000000409
40;40;1992;0.5
41;41;1993;0.0
42;42;1994;0.05072825000003585
43;43;1995;0.34865400000003627
44;44;1996;0.17854024999992565
45;45;1997;0.0
46;46;1998;0.5491895000000308
47;47;1999;0.40326450000013514
48;48;2000;0.0
49;49;2001;0.5283582499999551
50;50;2002;0.3108800000001086
51;51;2003;0.5136374999999873
52;52;2004;0.8006259999999946
53;53;2005;0.8290819999998267
54;54;2006;0.09143399999992916
55;55;2007;0.9573542499999566
56;56;2008;0.0
57;57;2009;0.5933174999999431
58;58;2010;0.27313049999996286
59;59;2011;0.6418302500000288
60;60;2012;0.7619459999999889
61;61;2013;0.6815484999999737
62;62;2014;0.5644657499999852
63;63;2015;0.2757057500000207
64;64;2016;0.0
65;65;2017;0.8504727499999525
66;66;2018;0.14534100000004446
67;67;2019;0.2000702499999851
68;68;2020;0.0
69;69;2021;1.0
70;70;2022;0.5
71;71;2023;0.5651712500000101
72;72;2024;0.44568874999997976
73;73;2025;0.36809649999989236
