;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1977;1605.4;1522.68;1121.8
1;1;1978;1939.08;1443.8;721.36
2;2;1979;1213.16;876.96;784.28
3;3;1980;1124.36;1106.12;810.4
4;4;1981;1680.72;1352.2;908.76
5;5;1982;1718.4;1364.6;797.76
6;6;1983;1753.08;1431.64;955.6
7;7;1984;1963.68;1539.04;804.08
8;8;1985;1922.88;1485.84;862.5600000000001
9;9;1986;1664.64;1339.72;959.64
10;10;1987;1543.2;1071.92;918.92
11;11;1988;2014.6;1582.2;897.16
12;12;1989;1793.16;1375.84;712.76
13;13;1990;1568.76;1307.52;869.88
14;14;1991;2027.36;1580.4;843.36
15;15;1992;1803.04;1368.28;622.08
16;16;1993;2013.12;1603.84;1068.84
17;17;1994;1763.44;1328.6;655.16
18;18;1995;1906.32;1408.72;474.68
19;19;1996;1028.16;745.6;726.12
20;20;1997;1247.16;1115.84;661.16
21;21;1998;1263.8;1015.52;1011.32
22;22;1999;1856.72;1460.16;954.04
23;23;2000;2015.36;1511.44;625.84
24;24;2001;2836.56;2337.56;2299.84
25;25;2002;1401.16;1193.6;833.52
26;26;2003;1322.24;1284.76;940.16
27;27;2004;1825.16;1460.0;980.52
28;28;2005;1930.28;1553.6;1230.44
29;29;2006;1970.44;1563.84;1082.56
30;30;2007;2116.2;1585.6;661.88
31;31;2008;2994.44;2459.28;2416.7200000000003
32;32;2009;1303.12;915.24;843.6800000000001
33;33;2010;1813.88;1300.08;975.08
34;34;2011;1852.4;1450.12;814.8000000000001
35;35;2012;2212.28;1693.08;798.9200000000001
36;36;2013;1270.88;1024.56;760.5600000000001
37;37;2014;1694.04;1303.6;1260.96
38;38;2015;1875.64;1501.28;1120.64
39;39;2016;1828.64;1332.16;612.08
40;40;2017;1947.92;1441.92;650.32
41;41;2018;1911.16;1511.6;1023.92
42;42;2019;1823.4;1378.52;764.8000000000001
43;43;2020;2034.8;1638.84;1203.48
44;44;2021;1841.52;1454.08;967.96
45;45;2022;3594.16;3080.04;2858.88
46;46;2023;1227.32;892.48;879.44
47;47;2024;2240.04;1756.08;903.24
