;index;YEAR;VAR1
0;0;1952;0.0796142500000475
1;1;1953;0.07850325000001054
2;2;1954;0.07850325000001054
3;3;1955;0.08822450000003335
4;4;1956;0.08405825000000555
5;5;1957;0.08211399999998835
6;6;1958;0.07850325000001054
7;7;1959;0.34458775000003383
8;8;1960;0.0796142500000475
9;9;1961;0.08350274999995555
10;10;1962;0.07850325000001054
11;11;1963;0.08850225000002675
12;12;1964;0.0796142500000475
13;13;1965;0.07822550000001716
14;14;1966;0.07850325000001054
15;15;1967;0.09239074999999795
16;16;1968;0.12238774999998335
17;17;1969;0.07822550000001716
18;18;1970;0.07850325000001054
19;19;1971;0.08822450000003335
20;20;1972;0.08016974999997115
21;21;1973;0.07850325000001054
22;22;1974;0.07850325000001054
23;23;1975;0.08822450000003335
24;24;1976;0.0835027500000187
25;25;1977;0.38791675000008286
26;26;1978;0.0601717499999389
27;27;1979;0.08850225000002675
28;28;1980;0.13072024999997575
29;29;1981;0.0
30;30;1982;0.096834749999956
31;31;1983;0.08822450000003335
32;32;1984;0.0796142500000475
33;33;1985;0.11627724999993835
34;34;1986;0.07822550000001716
35;35;1987;0.08850225000002675
36;36;1988;0.0832250000000252
37;37;1989;0.07766999999996715
38;38;1990;0.08016974999997115
39;39;1991;0.18960325000003586
40;40;1992;0.2823717499999894
41;41;1993;0.07850325000001054
42;42;1994;0.07822550000001716
43;43;1995;0.08850225000002675
44;44;1996;0.0832250000000252
45;45;1997;0.07822550000001716
46;46;1998;0.3162572499999459
47;47;1999;0.0
48;48;2000;0.0796142500000475
49;49;2001;0.07850325000001054
50;50;2002;0.07822550000001716
51;51;2003;0.18682574999997525
52;52;2004;0.0
53;53;2005;0.07850325000001054
54;54;2006;0.09183524999994795
55;55;2007;0.4329122500000293
56;56;2008;0.08683575000000295
57;57;2009;0.07961424999998434
58;58;2010;0.07822550000001716
59;59;2011;0.08850225000002675
60;60;2012;0.44235575000005856
61;61;2013;0.2723727499999732
62;62;2014;0.08072525000002115
63;63;2015;0.08044750000002775
64;64;2016;0.08294725000003175
65;65;2017;0.08183624999999495
66;66;2018;0.08183624999999495
67;67;2019;0.08183624999999495
68;68;2020;0.08294725000003175
69;69;2021;0.2998700000000177
70;70;2022;0.0
71;71;2023;0.08072525000002115
72;72;2024;0.22348875000005555
73;73;2025;0.33514425000000453
