;index;YEAR;VAR1;VAR2;VAR3
0;0;1977;6265.360000000001;5306.2;4656.28
1;1;1978;11041.28;6038.4400000000005;4798.2
2;2;1979;10032.16;5103.04;4504.4
3;3;1980;5976.16;5900.08;5541.2
4;4;1981;11066.08;5608.84;4502.36
5;5;1982;11384.279999999999;8729.039999999999;7110.160000000001
6;6;1983;11361.6;7525.4400000000005;5835.88
7;7;1984;11847.84;7491.64;6012.0
8;8;1985;13675.96;8843.08;7996.160000000001
9;9;1986;11822.76;6986.4400000000005;6148.68
10;10;1987;7684.68;7116.72;6906.360000000001
11;11;1988;6546.32;5905.28;5018.2
12;12;1989;10861.96;5933.04;4428.32
13;13;1990;10054.04;5632.68;4532.04
14;14;1991;10579.12;5799.68;4398.56
15;15;1992;10100.96;5743.84;3950.28
16;16;1993;14148.48;8262.32;6953.8
17;17;1994;9590.52;5188.84;3673.7999999999997
18;18;1995;9042.2;4644.92;3054.12
19;19;1996;8494.880000000001;5216.280000000001;5072.16
20;20;1997;7416.36;4618.24;3503.2799999999997
21;21;1998;5572.72;4986.4;4917.6
22;22;1999;12340.24;6797.44;5627.24
23;23;2000;11584.560000000001;6056.16;4242.92
24;24;2001;16725.84;10896.8;10709.52
25;25;2002;8254.2;4975.52;4538.48
26;26;2003;6066.92;5969.160000000001;5576.5199999999995
27;27;2004;12905.64;7465.0;6155.5599999999995
28;28;2005;13461.0;8261.64;7720.76
29;29;2006;11454.92;6287.92;5487.4
30;30;2007;11445.84;5798.08;3877.6800000000003
31;31;2008;17541.32;11667.12;11401.920000000002
32;32;2009;11138.079999999998;6218.5599999999995;5987.160000000001
33;33;2010;13067.759999999998;7188.92;5796.6
34;34;2011;11843.4;6730.44;5526.4800000000005
35;35;2012;11642.0;6269.4;4432.4400000000005
36;36;2013;8810.2;4932.6;4431.88
37;37;2014;7799.88;6178.68;5824.56
38;38;2015;13157.599999999999;7620.44;6791.0
39;39;2016;11847.0;6236.12;5114.28
40;40;2017;12310.48;6590.4800000000005;4787.8
41;41;2018;13371.08;7668.52;6496.72
42;42;2019;11643.16;6542.24;5268.4800000000005
43;43;2020;13353.199999999999;7704.4400000000005;6367.4
44;44;2021;10229.880000000001;6462.12;5914.68
45;45;2022;25816.36;19401.76;16112.560000000001
46;46;2023;9419.92;5121.32;4696.8
47;47;2024;11677.0;6440.12;4450.04
